filename,edinet_code,symbol,filing_date_parsed,status,token_count,pos_count,neg_count,pos_rate,neg_rate,lmmd_net
S100J2FF_1.xbrl,E04235,9101.T,2020-06-29,ok,7084,56,89,0.007905138339920948,0.01256352343308865,-0.004658385093167702
S100LK5W_1.xbrl,E04235,9101.T,2021-06-18,ok,5899,49,71,0.008306492625868791,0.012035938294626208,-0.0037294456687574167
S100DBJ1_1.xbrl,E04236,9104.T,2018-06-26,ok,4020,43,30,0.010696517412935324,0.007462686567164179,0.003233830845771144
S100G7SC_1.xbrl,E04236,9104.T,2019-06-25,ok,3881,36,39,0.009275959804174182,0.01004895645452203,-0.0007729966503478485
S100IW06_1.xbrl,E04236,9104.T,2020-06-23,ok,5218,36,64,0.006899195093905711,0.012265235722499043,-0.005366040628593331
S100LL1R_1.xbrl,E04236,9104.T,2021-06-22,ok,5266,50,54,0.0094948727687049,0.010254462590201291,-0.0007595898214963919
S100OAA8_1.xbrl,E04236,9104.T,2022-06-21,ok,4661,47,35,0.010083673031538296,0.007509118214975327,0.0025745548165629693
S100D8OY_1.xbrl,E04237,9107.T,2018-06-21,ok,5054,56,42,0.0110803324099723,0.008310249307479225,0.002770083102493075
S100G3HH_1.xbrl,E04237,9107.T,2019-06-21,ok,4951,39,65,0.007877196525954352,0.013128660876590587,-0.005251464350636235
S100IRQK_1.xbrl,E04237,9107.T,2020-06-23,ok,4707,54,59,0.011472275334608031,0.012534523050775442,-0.0010622477161674102
S100LLMF_1.xbrl,E04237,9107.T,2021-06-23,ok,4499,49,45,0.010891309179817737,0.010002222716159146,0.0008890864636585908
S100O8Q8_1.xbrl,E04237,9107.T,2022-06-23,ok,4157,50,26,0.012027904738994467,0.006254510464277123,0.005773394274717345
S100D88E_1.xbrl,E04272,9201.T,2018-06-20,ok,6687,81,31,0.012113055181695828,0.004635860625093465,0.007477194556602363
S100FZC4_1.xbrl,E04272,9201.T,2019-06-19,ok,9005,89,50,0.009883398112159911,0.00555247084952804,0.004330927262631871
S100LK6A_1.xbrl,E04272,9201.T,2021-06-18,ok,12765,151,141,0.011829220524872699,0.011045828437132785,0.0007833920877399138
S100OBZH_1.xbrl,E04272,9201.T,2022-06-22,ok,10895,143,99,0.01312528682882056,0.00908673703533731,0.004038549793483249
S100DIXE_1.xbrl,E04273,9202.T,2018-06-29,ok,6589,64,21,0.009713158294126575,0.0031871300652602822,0.006526028228866292
S100G5LL_1.xbrl,E04273,9202.T,2019-06-24,ok,5984,69,23,0.011530748663101604,0.003843582887700535,0.00768716577540107
S100J9CP_1.xbrl,E04273,9202.T,2020-07-17,ok,6272,51,51,0.008131377551020409,0.008131377551020409,0.0
S100LVSH_1.xbrl,E04273,9202.T,2021-06-30,ok,6378,64,58,0.010034493571652555,0.009093759799310128,0.0009407337723424271
S100DGU4_1.xbrl,E04498,9501.T,2018-06-28,ok,3429,44,18,0.012831729367162438,0.005249343832020997,0.00758238553514144
S100GAZW_1.xbrl,E04498,9501.T,2019-06-27,ok,3283,39,19,0.01187937861711849,0.005787389582698751,0.006091989034419738
S100IZPG_1.xbrl,E04498,9501.T,2020-06-26,ok,8083,44,105,0.005443523444265743,0.012990226401088704,-0.007546702956822962
S100LV6U_1.xbrl,E04498,9501.T,2021-06-30,ok,6034,31,41,0.005137553861451773,0.006794829300629765,-0.0016572754391779914
S100OKB1_1.xbrl,E04498,9501.T,2022-06-29,ok,5886,32,27,0.0054366292898402994,0.0045871559633027525,0.0008494733265375467
S100CV0N_1.xbrl,E04502,9502.T,2018-06-28,ok,3712,21,21,0.005657327586206897,0.005657327586206897,0.0
S100FGA5_1.xbrl,E04502,9502.T,2019-06-27,ok,4129,20,22,0.004843787842092516,0.005328166626301768,-0.0004843787842092516
S100J0BW_1.xbrl,E04502,9502.T,2020-06-26,ok,4401,26,22,0.005907748239036582,0.004998863894569416,0.0009088843444671666
S100LNJL_1.xbrl,E04502,9502.T,2021-06-28,ok,4350,45,29,0.010344827586206896,0.006666666666666667,0.0036781609195402297
S100NM6F_1.xbrl,E04502,9502.T,2022-06-29,ok,5117,38,27,0.0074262263044752785,0.005276529216337698,0.0021496970881375805
S100DCR7_1.xbrl,E04499,9503.T,2018-06-28,ok,3568,21,17,0.005885650224215246,0.00476457399103139,0.0011210762331838565
S100G17T_1.xbrl,E04499,9503.T,2019-06-21,ok,3807,18,20,0.004728132387706856,0.005253480430785396,-0.0005253480430785396
S100IRRA_1.xbrl,E04499,9503.T,2020-06-26,ok,3837,7,36,0.0018243419338024498,0.009382329945269743,-0.007557988011467292
S100LKRF_1.xbrl,E04499,9503.T,2021-06-28,ok,3888,12,20,0.0030864197530864196,0.0051440329218107,-0.00205761316872428
S100OJ76_1.xbrl,E04499,9503.T,2022-06-29,ok,4002,31,20,0.007746126936531734,0.004997501249375313,0.002748625687156422
S100DDYC_1.xbrl,E04514,9531.T,2018-06-28,ok,6538,44,50,0.00672988681553992,0.007647598654022637,-0.0009177118384827164
S100G7A2_1.xbrl,E04514,9531.T,2019-06-27,ok,7255,57,59,0.007856650585802894,0.008132322536181943,-0.0002756719503790489
S100IWP6_1.xbrl,E04514,9531.T,2020-06-26,ok,7832,58,93,0.007405515832482125,0.011874361593462716,-0.004468845760980593
S100LSTE_1.xbrl,E04514,9531.T,2021-06-29,ok,6906,54,79,0.007819287576020852,0.01143932812047495,-0.003620040544454098
S100OJKI_1.xbrl,E04514,9531.T,2022-06-29,ok,6740,66,48,0.009792284866468843,0.007121661721068249,0.0026706231454005935
S100DGFB_1.xbrl,E04520,9532.T,2018-06-29,ok,4666,39,28,0.008358336905272181,0.006000857265323617,0.002357479639948564
S100G3X2_1.xbrl,E04520,9532.T,2019-06-24,ok,5268,36,28,0.00683371298405467,0.005315110098709187,0.0015186028853454822
S100IXGI_1.xbrl,E04520,9532.T,2020-06-29,ok,6333,43,57,0.006789831043739144,0.009000473709142587,-0.0022106426654034425
S100LKB5_1.xbrl,E04520,9532.T,2021-06-28,ok,5071,45,20,0.008873989351212778,0.003943995267205679,0.004929994084007099
S100OIE9_1.xbrl,E04520,9532.T,2022-06-28,ok,4532,43,15,0.009488084730803177,0.0033097969991173876,0.00617828773168579
