Ticker,alpha,beta
4578.T,0.00019466079814354543,0.8060538938975697
4661.T,0.0002547480405474072,0.6967522911751084
4689.T,-4.5280416813101585e-06,0.7976831619573853
4704.T,0.00019551917452713245,0.8533698609043745
4751.T,0.00041334921042978083,0.8740599686119431
4755.T,-0.00024528526717967154,1.000707305897122
4901.T,0.00018535955689523502,0.9565321931036853
4902.T,-0.0003756643972277839,1.0846550121612824
4911.T,-4.589104877872189e-05,0.8817452084769144
5019.T,0.00042933807656126853,0.8869155754339024
5020.T,0.00022762581335852454,0.9365387630815114
5101.T,0.0003251084003193057,1.2381641244512036
5108.T,0.00011933510923675471,0.9403387377108535
5201.T,7.090073296791882e-05,1.0344965022168424
5214.T,0.00015607635597761338,0.9772275692813347
5233.T,-5.545574843579635e-05,1.0407700193627736
5301.T,0.0004692559029809946,1.1686133023352523
5332.T,-0.00014172257216542544,1.0080713574738758
5333.T,-0.000181721123867643,1.1331587107845758
5401.T,4.030947661611906e-05,1.1286079902474067
5406.T,8.673256490633022e-05,1.241673512803993
5411.T,-6.568586924054175e-05,1.1942311157153873
5631.T,0.0005853917599009902,1.3992829906433295
5706.T,0.0007155516258657285,1.2480941647924155
5711.T,-0.00020220763870049143,1.082164549841023
5713.T,0.00015753634923975555,1.1704568673681803
5714.T,2.837133888929143e-05,1.094315617362876
5801.T,0.000528550572425536,1.1443336491992375
5802.T,0.0002474297070275979,1.287710960066373
5803.T,0.0013039401334716154,1.4669586276507596
5831.T,0.0006448700421798102,0.9589340347677031
6098.T,0.0006404166570613693,1.196790232597566
6103.T,1.5984410021744775e-05,1.2613875044244947
6113.T,8.157056429889276e-05,1.1826745784025554
6146.T,0.001069387415505859,1.2514568001749264
6178.T,-0.0001365420242182909,0.8535218333682235
6273.T,1.922279349077249e-05,1.2055576313818475
6301.T,0.0003011700380446053,1.171146182187441
6302.T,-2.4520327881039745e-05,1.2366864165973583
6305.T,0.0002530807719575527,1.2492377240198704
6326.T,-0.0001593569917158171,1.147422114521274
6361.T,0.0006713147323842531,1.3376267264495323
6367.T,0.00011094823850427821,1.0683404578146465
6471.T,-0.00034632515248349477,1.2297958240655376
6472.T,-0.0003332725756337005,1.3955738783467033
6473.T,-0.00027798221786125656,1.3971581716995174
6479.T,0.0002271533350291623,1.3975540208492778
6501.T,0.000583924203486188,1.3592956846709399
6503.T,0.00031218324273732926,1.191271786509724
6504.T,0.0004250089585556881,1.3508312152621396
6506.T,0.00019194924110542812,1.3989533758504007
6526.T,0.0012078733640130135,1.630255223099106
6532.T,0.0019024449980686922,1.0498561291356046
6594.T,-8.762951057944318e-05,1.118984157513783
6645.T,-0.00013444409580457044,1.1940754096714485
6674.T,7.114618508774685e-05,1.2076709497979523
6701.T,0.0006737318049138518,0.9853492872805854
6702.T,0.0006537002453615749,1.0017311032044691
6723.T,0.00024126056582552508,1.5437130506064531
6724.T,-6.861585684765962e-05,1.1405694788685659
6752.T,3.4781878859516796e-05,1.1506507969412185
6753.T,-0.00012868836378036235,1.0678488066460317
6758.T,0.0006530342434517018,1.11948947110114
6762.T,0.00044410213635024786,1.3790003112571512
6770.T,-0.0002837119374710969,1.202196273280354
6841.T,0.00030080510162781637,1.2148417275516894
6857.T,0.001775495733918268,1.3405213288116078
6861.T,0.0003202415425908814,1.0711011365948044
6902.T,7.310891064421477e-06,1.235295510911112
6920.T,0.0017710487001271207,1.3159072881748348
6952.T,-0.00038999611215429706,0.9298550511452482
6954.T,-9.547834322472541e-05,1.1541435733200114
6963.T,5.353027781370448e-05,1.1745327142334225
6971.T,1.4336229815021932e-05,0.9645433764893563
6976.T,0.0002367336044075153,1.4264731396915653
6981.T,1.2455827704077127e-05,1.2070713390481818
6988.T,0.0001841677559424001,1.224428376010865
7004.T,0.00013813811016416284,0.9701988866167992
7011.T,0.0007403867313705351,1.2080164101711717
7012.T,0.0002086878090931996,1.3743386513929574
7013.T,0.0006708455240178322,1.4299757281520689
7186.T,0.00013601806940268272,1.171776129009058
7201.T,-0.0006063479952030386,1.194047740727956
7202.T,6.878631005102607e-05,1.187391278753957
7203.T,0.00012105020957562491,1.1489680530889097
7205.T,-0.000651106324303195,1.2083572663843885
7211.T,-0.0004118904583334053,1.14280304210726
7261.T,-0.0004476833989949556,1.3848917506148102
7267.T,-4.5535680422613574e-05,1.2134890227214452
7269.T,0.00025001381658120765,1.1447847445086452
7270.T,-0.0002889747368515533,1.2174172635081952
7272.T,-2.2352064649910322e-05,1.3235995529877937
7453.T,0.0003214570436080587,0.891114244450202
7731.T,1.6595002224744694e-05,1.0207116356647794
7733.T,5.172160788172463e-05,1.0264247041800694
7735.T,0.0007532036950723825,1.3000269189359497
7741.T,0.0004654840292163825,1.024024329135155
