date,symbol,series_kind,open,high,low,close,adj_close,volume,trading_date
2016-05-18,TOPIX,TOPIX_INDEX_JPX,1333.59,1349.27,1327.33,1338.38,1338.38,,2016-05-18
2016-05-19,TOPIX,TOPIX_INDEX_JPX,1349.3,1352.57,1332.09,1336.56,1336.56,,2016-05-19
2016-05-20,TOPIX,TOPIX_INDEX_JPX,1331.97,1345.25,1329.84,1343.4,1343.4,,2016-05-20
2016-05-23,TOPIX,TOPIX_INDEX_JPX,1337.55,1339.44,1319.62,1338.68,1338.68,,2016-05-23
2016-05-24,TOPIX,TOPIX_INDEX_JPX,1334.11,1334.19,1324.49,1326.5,1326.5,,2016-05-24
2016-05-25,TOPIX,TOPIX_INDEX_JPX,1345.43,1348.78,1341.97,1342.88,1342.88,,2016-05-25
2016-05-26,TOPIX,TOPIX_INDEX_JPX,1355.73,1357.47,1340.74,1342.87,1342.87,,2016-05-26
2016-05-27,TOPIX,TOPIX_INDEX_JPX,1347.68,1352.39,1344.17,1349.93,1349.93,,2016-05-27
2016-05-30,TOPIX,TOPIX_INDEX_JPX,1359.48,1366.53,1353.37,1366.01,1366.01,,2016-05-30
2016-05-31,TOPIX,TOPIX_INDEX_JPX,1362.63,1380.88,1359.87,1379.8,1379.8,,2016-05-31
2016-06-01,TOPIX,TOPIX_INDEX_JPX,1369.96,1374.37,1358.05,1362.07,1362.07,,2016-06-01
2016-06-02,TOPIX,TOPIX_INDEX_JPX,1351.75,1351.75,1329.53,1331.81,1331.81,,2016-06-02
2016-06-03,TOPIX,TOPIX_INDEX_JPX,1333.42,1341.81,1330.29,1337.23,1337.23,,2016-06-03
2016-06-06,TOPIX,TOPIX_INDEX_JPX,1317.33,1332.51,1311.96,1332.43,1332.43,,2016-06-06
2016-06-07,TOPIX,TOPIX_INDEX_JPX,1336.29,1342.47,1330.29,1340.77,1340.77,,2016-06-07
2016-06-08,TOPIX,TOPIX_INDEX_JPX,1344.07,1350.97,1332.61,1350.97,1350.97,,2016-06-08
2016-06-09,TOPIX,TOPIX_INDEX_JPX,1343.96,1347.32,1332.19,1337.41,1337.41,,2016-06-09
2016-06-10,TOPIX,TOPIX_INDEX_JPX,1335.81,1335.93,1321.9,1330.72,1330.72,,2016-06-10
2016-06-13,TOPIX,TOPIX_INDEX_JPX,1307.97,1308.57,1284.54,1284.54,1284.54,,2016-06-13
2016-06-14,TOPIX,TOPIX_INDEX_JPX,1279.46,1288.24,1264.65,1271.93,1271.93,,2016-06-14
2016-06-15,TOPIX,TOPIX_INDEX_JPX,1267.58,1284.86,1263.89,1277.11,1277.11,,2016-06-15
2016-06-16,TOPIX,TOPIX_INDEX_JPX,1273.29,1275.92,1238.37,1241.56,1241.56,,2016-06-16
2016-06-17,TOPIX,TOPIX_INDEX_JPX,1256.85,1264.11,1248.66,1250.83,1250.83,,2016-06-17
2016-06-20,TOPIX,TOPIX_INDEX_JPX,1269.81,1283.93,1268.65,1279.19,1279.19,,2016-06-20
2016-06-21,TOPIX,TOPIX_INDEX_JPX,1269.96,1296.67,1262.97,1293.9,1293.9,,2016-06-21
2016-06-22,TOPIX,TOPIX_INDEX_JPX,1289.87,1291.42,1277.96,1284.61,1284.61,,2016-06-22
2016-06-23,TOPIX,TOPIX_INDEX_JPX,1285.72,1300.65,1282.06,1298.71,1298.71,,2016-06-23
2016-06-24,TOPIX,TOPIX_INDEX_JPX,1307.84,1309.08,1192.8,1204.48,1204.48,,2016-06-24
2016-06-27,TOPIX,TOPIX_INDEX_JPX,1216.7,1227.16,1212.24,1225.76,1225.76,,2016-06-27
2016-06-28,TOPIX,TOPIX_INDEX_JPX,1208.57,1233.65,1198.57,1224.62,1224.62,,2016-06-28
2016-06-29,TOPIX,TOPIX_INDEX_JPX,1241.27,1251.92,1232.41,1247.69,1247.69,,2016-06-29
2016-06-30,TOPIX,TOPIX_INDEX_JPX,1262.42,1264.4,1245.82,1245.82,1245.82,,2016-06-30
2016-07-01,TOPIX,TOPIX_INDEX_JPX,1254.87,1260.54,1248.49,1254.44,1254.44,,2016-07-01
2016-07-04,TOPIX,TOPIX_INDEX_JPX,1248.5,1263.5,1246.75,1261.97,1261.97,,2016-07-04
2016-07-05,TOPIX,TOPIX_INDEX_JPX,1256.87,1259.07,1249.56,1256.64,1256.64,,2016-07-05
2016-07-06,TOPIX,TOPIX_INDEX_JPX,1237.33,1238.09,1218.14,1234.2,1234.2,,2016-07-06
2016-07-07,TOPIX,TOPIX_INDEX_JPX,1230.78,1238.49,1222.7,1226.09,1226.09,,2016-07-07
2016-07-08,TOPIX,TOPIX_INDEX_JPX,1228.97,1234.14,1209.88,1209.88,1209.88,,2016-07-08
2016-07-11,TOPIX,TOPIX_INDEX_JPX,1231.26,1263.71,1231.07,1255.79,1255.79,,2016-07-11
2016-07-12,TOPIX,TOPIX_INDEX_JPX,1276.12,1297.49,1275.16,1285.73,1285.73,,2016-07-12
2016-07-13,TOPIX,TOPIX_INDEX_JPX,1305.84,1314.91,1297.28,1300.26,1300.26,,2016-07-13
2016-07-14,TOPIX,TOPIX_INDEX_JPX,1301.13,1312.43,1299.53,1311.16,1311.16,,2016-07-14
2016-07-15,TOPIX,TOPIX_INDEX_JPX,1315.43,1325.64,1310.26,1317.1,1317.1,,2016-07-15
2016-07-19,TOPIX,TOPIX_INDEX_JPX,1326.06,1331.39,1316.38,1331.39,1331.39,,2016-07-19
2016-07-20,TOPIX,TOPIX_INDEX_JPX,1325.92,1331.32,1319.07,1330.75,1330.75,,2016-07-20
2016-07-21,TOPIX,TOPIX_INDEX_JPX,1344.4,1347.24,1332.74,1339.39,1339.39,,2016-07-21
2016-07-22,TOPIX,TOPIX_INDEX_JPX,1322.1,1330.9,1321.27,1327.51,1327.51,,2016-07-22
2016-07-25,TOPIX,TOPIX_INDEX_JPX,1330.59,1339.06,1324.12,1325.36,1325.36,,2016-07-25
2016-07-26,TOPIX,TOPIX_INDEX_JPX,1316.98,1317.34,1302.63,1306.94,1306.94,,2016-07-26
2016-07-27,TOPIX,TOPIX_INDEX_JPX,1316.53,1331.29,1313.72,1321.67,1321.67,,2016-07-27
2016-07-28,TOPIX,TOPIX_INDEX_JPX,1313.76,1316.37,1303.73,1307.0,1307.0,,2016-07-28
2016-07-29,TOPIX,TOPIX_INDEX_JPX,1303.69,1323.99,1288.88,1322.74,1322.74,,2016-07-29
2016-08-01,TOPIX,TOPIX_INDEX_JPX,1308.3,1325.24,1299.07,1321.83,1321.83,,2016-08-01
2016-08-02,TOPIX,TOPIX_INDEX_JPX,1308.74,1312.94,1300.2,1300.2,1300.2,,2016-08-02
2016-08-03,TOPIX,TOPIX_INDEX_JPX,1282.43,1284.27,1269.77,1271.98,1271.98,,2016-08-03
2016-08-04,TOPIX,TOPIX_INDEX_JPX,1276.69,1284.66,1262.86,1282.99,1282.99,,2016-08-04
2016-08-05,TOPIX,TOPIX_INDEX_JPX,1285.2,1289.64,1278.12,1279.9,1279.9,,2016-08-05
2016-08-08,TOPIX,TOPIX_INDEX_JPX,1295.61,1305.53,1294.23,1305.53,1305.53,,2016-08-08
