paper,run_id,window_start,window_end,spec,year_fe,industry_fe,nobs,r2,beta_gpt_z,se_gpt_z,p_gpt_z,beta_ln_market_cap,se_ln_market_cap,p_ln_market_cap,beta_ln_volatility,se_ln_volatility,p_ln_volatility,beta_lmmd_z,se_lmmd_z,p_lmmd_z,beta_neg_z,se_neg_z,p_neg_z,beta_pos_z,se_pos_z,p_pos_z,beta_disagreement,se_disagreement,p_disagreement
paper1,1,0,0,LMMD_PosNeg+Controls,False,False,1086,0.01003225364425464,,,,0.010368844176501182,0.03857650966106611,0.7880939993190652,-0.13563586101565053,0.13071393620871208,0.2994310886390791,,,,-0.1290005754520385,0.046307167829805616,0.00534026801865833,0.053981261357365945,0.04707056902758584,0.2514578536237557,,,
paper1,1,0,0,LMMD_PosNeg+Controls+IndFE,False,True,1086,0.05774655592908684,,,,-0.017265501872065447,0.0412875212180881,0.6758175315776179,-0.12282500797649468,0.1264231685476344,0.331280063164036,,,,-0.12413874472996278,0.04683997258410974,0.008042660069331733,0.06700423528977857,0.05353654079025434,0.21072994962239244,,,
paper1,1,0,0,LMMD_PosNeg+Controls+YearFE,True,False,1086,0.020093622383254073,,,,0.02343904256791631,0.03914936102191477,0.5493675034155023,0.1820583471442107,0.2022655420322826,0.36806931758556916,,,,-0.1095233695826127,0.04816984047895352,0.02298452569770038,0.04330431114679368,0.04834985623815586,0.3704423478070419,,,
paper1,1,0,0,LMMD_PosNeg+Controls+YearFE+IndFE,True,True,1086,0.06882002277910537,,,,-0.002379089326702733,0.04221036725181776,0.9550528885181924,0.2646241212473046,0.20098646316667032,0.18796382202754147,,,,-0.08884788764876063,0.049710823822897494,0.07388988417636683,0.06036730607249992,0.05402908693999419,0.2638612716610782,,,
paper1,1,0,0,GPT+Neg+Pos,False,False,1086,0.010915350462185613,0.08211650740268397,0.05906309981589733,0.16443224903523068,,,,,,,,,,-0.09818751528978752,0.048915548529657904,0.04471917646365832,0.044666475831712175,0.04751991993907299,0.347241836557744,,,
paper1,1,0,0,GPT+Neg+Pos+IndFE,False,True,1086,0.05962829348317855,0.09841540950353701,0.059559062760581725,0.0984529869795159,,,,,,,,,,-0.07525647774572079,0.04769494971596961,0.11459524974135533,0.05781957179188959,0.053658837075227554,0.28123885371522994,,,
paper1,1,0,0,GPT+Neg+Pos+YearFE,True,False,1086,0.020063694360983764,0.0660879899686634,0.06802359303398374,0.33127689522226067,,,,,,,,,,-0.08312315112433241,0.048938558604671084,0.08940954341999582,0.038744129322051526,0.048055180794857814,0.42010303502527446,,,
paper1,1,0,0,GPT+Neg+Pos+YearFE+IndFE,True,True,1086,0.06845846513615905,0.08434169010470528,0.06663454140168594,0.20560787191383745,,,,,,,,,,-0.05634168035253166,0.04830313196628094,0.24344516840344388,0.05427524840012683,0.05453498621891249,0.31962090049959746,,,
paper1,1,0,0,GPT+Neg+Pos+Controls,False,False,1086,0.011728312533203833,0.07671062802320233,0.06040584858115011,0.20411293481451454,0.013102636769647028,0.03795567472421309,0.7299373273635883,-0.11003958363310677,0.13259295292557938,0.4065923739058209,,,,-0.09435265171939285,0.04882821273490994,0.053317698071645936,0.044852739556329,0.04798406804582586,0.34992110646577834,,,
paper1,1,0,0,GPT+Neg+Pos+Controls+IndFE,False,True,1086,0.05995712737349468,0.09258370684620043,0.060871587864275496,0.12826799318349322,-0.015206793255210136,0.04116480963310583,0.7118203181373564,-0.08142202860142443,0.12861686136728898,0.5266952828175443,,,,-0.07483358208805177,0.04770738821641002,0.11674228219630262,0.058493498675860754,0.05432112957782305,0.28156546014795425,,,
