paper,run_id,window_start,window_end,spec,year_fe,industry_fe,nobs,r2,beta_gpt_z,se_gpt_z,p_gpt_z,beta_lmmd_z,se_lmmd_z,p_lmmd_z,beta_neg_z,se_neg_z,p_neg_z,beta_pos_z,se_pos_z,p_pos_z
paper1,2026-03-08_062530,-1,1,GPT+Neg+Pos+IndFE,False,True,1087,0.06312722400854409,0.0014177803363072652,0.0009982856712278715,0.15554508294593153,,,,-0.0013322107827036288,0.0009975230348777634,0.1817066010702184,0.00202616541644375,0.0009201282321822964,0.027662003786084084
paper1,2026-03-08_062530,-1,1,GPT+Neg+Pos+YearFE,True,False,1087,0.037284934053304464,0.0008500180940184155,0.001023960386725557,0.4064664695516006,,,,-0.001846927823937247,0.0009126025419786446,0.04299041847569749,0.0011522677339874715,0.000781183020414003,0.14020470408666655
paper1,2026-03-08_062530,-1,1,GPT+Neg+Pos+YearFE+IndFE,True,True,1087,0.08600348114611989,0.0011198133795515461,0.0010742438746399847,0.29721696350571225,,,,-0.0008451721005785266,0.000985610157254955,0.391162230491647,0.0019782893973622154,0.0009571110897195086,0.03873998507783582
paper1,2026-03-08_062530,-2,2,GPT,False,False,1087,0.0029925707930619216,0.0017950452284231022,0.0010213895996869654,0.07884045747647243,,,,,,,,,
paper1,2026-03-08_062530,-2,2,GPT+IndFE,False,True,1087,0.04804752479308405,0.0017322353283394194,0.0010296931305162741,0.09251396102258971,,,,,,,,,
paper1,2026-03-08_062530,-2,2,GPT+YearFE,True,False,1087,0.026968522761194103,0.0015575110280011287,0.0012730695899904887,0.22116747653537128,,,,,,,,,
paper1,2026-03-08_062530,-2,2,GPT+YearFE+IndFE,True,True,1087,0.07126390809813732,0.001477150751728447,0.0012520577167254056,0.2380883301644352,,,,,,,,,
paper1,2026-03-08_062530,-2,2,LMMD,False,False,1087,0.011748944353997759,,,,0.0035567439593545166,0.0010455486535125562,0.0006694441739259876,,,,,,
paper1,2026-03-08_062530,-2,2,LMMD+IndFE,False,True,1087,0.055453066280165886,,,,0.0037097585824275013,0.0011181349546097613,0.0009072639482163078,,,,,,
paper1,2026-03-08_062530,-2,2,LMMD+YearFE,True,False,1087,0.0341502140383283,,,,0.00321632438244936,0.0011404391287659506,0.004798612641058049,,,,,,
paper1,2026-03-08_062530,-2,2,LMMD+YearFE+IndFE,True,True,1087,0.07727722753820476,,,,0.003343527947175175,0.0012127641518465898,0.005834359301717394,,,,,,
paper1,2026-03-08_062530,-2,2,GPT+LMMD,False,False,1087,0.01181965702873089,0.00030641575808041505,0.0011372066785618796,0.787586513766953,0.003423506433284414,0.001166215798514121,0.003329370279401578,,,,,,
paper1,2026-03-08_062530,-2,2,GPT+LMMD+IndFE,False,True,1087,0.05549220822933898,0.00023668785445815936,0.0011738938779286931,0.8402088995214879,0.003590477212357241,0.001279457291702183,0.005012176596250611,,,,,,
paper1,2026-03-08_062530,-2,2,GPT+LMMD+YearFE,True,False,1087,0.03420282343744696,0.00029246543419101994,0.0013023398403408742,0.8223144169026899,0.0031182382273667614,0.0011758125743795622,0.008001991185443676,,,,,,
paper1,2026-03-08_062530,-2,2,GPT+LMMD+YearFE+IndFE,True,True,1087,0.0773082690350615,0.00023342274800506875,0.0013123369933978302,0.8588266473639368,0.003254473574227694,0.0012801951387791423,0.011016660150434688,,,,,,
paper1,2026-03-08_062530,-2,2,LMMD_Neg,False,False,1087,0.007980913901643016,,,,,,,-0.002931429756396467,0.0010783851431621773,0.006560812001820934,,,
paper1,2026-03-08_062530,-2,2,LMMD_Neg+IndFE,False,True,1087,0.050101293474851594,,,,,,,-0.002489013350839341,0.0011405009270396861,0.02908105057101446,,,
paper1,2026-03-08_062530,-2,2,LMMD_Neg+YearFE,True,False,1087,0.030258632772271588,,,,,,,-0.0024409689113225686,0.0011256257781952347,0.030117328512477122,,,
paper1,2026-03-08_062530,-2,2,LMMD_Neg+YearFE+IndFE,True,True,1087,0.07206080970889628,,,,,,,-0.0018255082289860359,0.0011926818239135562,0.12587047354889674,,,
paper1,2026-03-08_062530,-2,2,LMMD_Pos,False,False,1087,0.004910433931608504,,,,,,,,,,0.0022993925250862617,0.0009996521594394204,0.02143730944776946
paper1,2026-03-08_062530,-2,2,LMMD_Pos+IndFE,False,True,1087,0.05231965677282546,,,,,,,,,,0.0033050824267294244,0.0011650117652790173,0.004554646255257875
paper1,2026-03-08_062530,-2,2,LMMD_Pos+YearFE,True,False,1087,0.029724668240852847,,,,,,,,,,0.002222180740938304,0.0010533685410283248,0.0348932771925351
paper1,2026-03-08_062530,-2,2,LMMD_Pos+YearFE+IndFE,True,True,1087,0.0765915754346358,,,,,,,,,,0.0033095392487006415,0.001227215373989974,0.007001190327620341
paper1,2026-03-08_062530,-2,2,LMMD_PosNeg,False,False,1087,0.011955232461673848,,,,,,,-0.0027632375593520148,0.0010711450380191312,0.009888492142503385,0.0020754643220712576,0.000992691126002182,0.03655090041765962
paper1,2026-03-08_062530,-2,2,LMMD_PosNeg+IndFE,False,True,1087,0.055676266526132334,,,,,,,-0.0021210926152152422,0.0011315955501127691,0.060871672484863325,0.0029925506229144484,0.0011688442836306756,0.010459249975814905
